"case","run","VB","time","DOC","feed","material","smcAC","smcDC","vib.table","vib.spindle","AE.table","AE_spindle","cutnumber"
12,11,0.4,49,0.75,0.5,1,-0.2001953125,1.396484375,0.06103515625,0.250244140625,0.0946044921875,0.0946044921875,105
12,11,0.4,49,0.75,0.5,1,-0.087890625,1.4013671875,0.06103515625,0.264892578125,0.103759765625,0.103759765625,105
12,11,0.4,49,0.75,0.5,1,-0.01708984375,1.396484375,0.0634765625,0.257568359375,0.1129150390625,0.1129150390625,105
12,11,0.4,49,0.75,0.5,1,0.11962890625,1.38671875,0.06103515625,0.25390625,0.098876953125,0.098876953125,105
12,11,0.4,49,0.75,0.5,1,0.17578125,1.3818359375,0.06591796875,0.252685546875,0.106201171875,0.106201171875,105
12,11,0.4,49,0.75,0.5,1,0.27099609375,1.376953125,0.06103515625,0.2587890625,0.0927734375,0.0927734375,105
12,11,0.4,49,0.75,0.5,1,0.25634765625,1.376953125,0.05615234375,0.25634765625,0.0958251953125,0.0958251953125,105
12,11,0.4,49,0.75,0.5,1,0.26611328125,1.376953125,0.05859375,0.255126953125,0.0836181640625,0.0836181640625,105
12,11,0.4,49,0.75,0.5,1,0.1904296875,1.3818359375,0.05615234375,0.25390625,0.1055908203125,0.1055908203125,105
12,11,0.4,49,0.75,0.5,1,0.21484375,1.38671875,0.0634765625,0.25634765625,0.103759765625,0.103759765625,105
12,11,0.4,49,0.75,0.5,1,-0.05615234375,1.38671875,0.0537109375,0.262451171875,0.10498046875,0.10498046875,105
12,11,0.4,49,0.75,0.5,1,-0.06591796875,1.38671875,0.06103515625,0.264892578125,0.111083984375,0.111083984375,105
12,11,0.4,49,0.75,0.5,1,-0.146484375,1.376953125,0.0634765625,0.25146484375,0.0958251953125,0.0958251953125,105
12,11,0.4,49,0.75,0.5,1,-0.2880859375,1.3671875,0.0634765625,0.260009765625,0.1007080078125,0.1007080078125,105
12,11,0.4,49,0.75,0.5,1,-0.5029296875,1.357421875,0.05615234375,0.255126953125,0.0909423828125,0.0909423828125,105
12,11,0.4,49,0.75,0.5,1,-0.49560546875,1.34765625,0.05615234375,0.25146484375,0.113525390625,0.113525390625,105
12,11,0.4,49,0.75,0.5,1,-0.51513671875,1.3427734375,0.05615234375,0.250244140625,0.1080322265625,0.1080322265625,105
12,11,0.4,49,0.75,0.5,1,-0.654296875,1.34765625,0.0537109375,0.2587890625,0.1080322265625,0.1080322265625,105
12,11,0.4,49,0.75,0.5,1,-0.58349609375,1.357421875,0.05615234375,0.255126953125,0.1214599609375,0.1214599609375,105
12,11,0.4,49,0.75,0.5,1,-0.63232421875,1.3671875,0.05615234375,0.25146484375,0.10498046875,0.10498046875,105
12,11,0.4,49,0.75,0.5,1,-0.4541015625,1.376953125,0.0634765625,0.25390625,0.1104736328125,0.1104736328125,105
12,11,0.4,49,0.75,0.5,1,-0.3857421875,1.3916015625,0.06103515625,0.2734375,0.1025390625,0.1025390625,105
12,11,0.4,49,0.75,0.5,1,-0.22705078125,1.396484375,0.06103515625,0.2978515625,0.1007080078125,0.1007080078125,105
12,11,0.4,49,0.75,0.5,1,-0.087890625,1.4013671875,0.06103515625,0.283203125,0.0946044921875,0.0946044921875,105
12,11,0.4,49,0.75,0.5,1,-0.029296875,1.396484375,0.05615234375,0.28564453125,0.1055908203125,0.1055908203125,105
12,11,0.4,49,0.75,0.5,1,0.146484375,1.3916015625,0.06103515625,0.2734375,0.11474609375,0.11474609375,105
12,11,0.4,49,0.75,0.5,1,0.2978515625,1.38671875,0.05859375,0.279541015625,0.1031494140625,0.1031494140625,105
12,11,0.4,49,0.75,0.5,1,0.2392578125,1.3818359375,0.06591796875,0.269775390625,0.1019287109375,0.1019287109375,105
12,11,0.4,49,0.75,0.5,1,0.28564453125,1.376953125,0.05859375,0.286865234375,0.0860595703125,0.0860595703125,105
12,11,0.4,49,0.75,0.5,1,0.23193359375,1.3818359375,0.0634765625,0.279541015625,0.0946044921875,0.0946044921875,105
12,11,0.4,49,0.75,0.5,1,0.26123046875,1.3818359375,0.05859375,0.269775390625,0.0836181640625,0.0836181640625,105
12,11,0.4,49,0.75,0.5,1,0.20751953125,1.38671875,0.05615234375,0.284423828125,0.1043701171875,0.1043701171875,105
12,11,0.4,49,0.75,0.5,1,-0.01708984375,1.38671875,0.05859375,0.2685546875,0.107421875,0.107421875,105
12,11,0.4,49,0.75,0.5,1,-0.06591796875,1.3818359375,0.05615234375,0.269775390625,0.1019287109375,0.1019287109375,105
12,11,0.4,49,0.75,0.5,1,-0.13916015625,1.376953125,0.06103515625,0.2734375,0.1123046875,0.1123046875,105
12,11,0.4,49,0.75,0.5,1,-0.42236328125,1.3671875,0.05126953125,0.27099609375,0.093994140625,0.093994140625,105
12,11,0.4,49,0.75,0.5,1,-0.45166015625,1.357421875,0.05615234375,0.289306640625,0.1019287109375,0.1019287109375,105
12,11,0.4,49,0.75,0.5,1,-0.52978515625,1.34765625,0.05859375,0.269775390625,0.096435546875,0.096435546875,105
12,11,0.4,49,0.75,0.5,1,-0.4931640625,1.3427734375,0.0634765625,0.26611328125,0.1043701171875,0.1043701171875,105
12,11,0.4,49,0.75,0.5,1,-0.5859375,1.3427734375,0.05615234375,0.25634765625,0.0982666015625,0.0982666015625,105
12,11,0.4,49,0.75,0.5,1,-0.576171875,1.3525390625,0.05126953125,0.263671875,0.106201171875,0.106201171875,105
12,11,0.4,49,0.75,0.5,1,-0.57861328125,1.3623046875,0.05859375,0.257568359375,0.1263427734375,0.1263427734375,105
12,11,0.4,49,0.75,0.5,1,-0.4296875,1.376953125,0.05615234375,0.260009765625,0.1116943359375,0.1116943359375,105
12,11,0.4,49,0.75,0.5,1,-0.33447265625,1.38671875,0.06103515625,0.25634765625,0.0994873046875,0.0994873046875,105
12,11,0.4,49,0.75,0.5,1,-0.1806640625,1.396484375,0.05615234375,0.247802734375,0.0860595703125,0.0860595703125,105
12,11,0.4,49,0.75,0.5,1,-0.1171875,1.4013671875,0.0634765625,0.257568359375,0.1019287109375,0.1019287109375,105
12,11,0.4,49,0.75,0.5,1,0,1.396484375,0.05859375,0.25634765625,0.09521484375,0.09521484375,105
12,11,0.4,49,0.75,0.5,1,0.17822265625,1.38671875,0.05859375,0.255126953125,0.1116943359375,0.1116943359375,105
12,11,0.4,49,0.75,0.5,1,0.25146484375,1.3818359375,0.05615234375,0.257568359375,0.1116943359375,0.1116943359375,105
12,11,0.4,49,0.75,0.5,1,0.2587890625,1.376953125,0.05126953125,0.250244140625,0.0946044921875,0.0946044921875,105
12,11,0.4,49,0.75,0.5,1,0.25390625,1.376953125,0.06103515625,0.25146484375,0.0994873046875,0.0994873046875,105
12,11,0.4,49,0.75,0.5,1,0.3125,1.376953125,0.05615234375,0.250244140625,0.0872802734375,0.0872802734375,105
12,11,0.4,49,0.75,0.5,1,0.24658203125,1.3818359375,0.06103515625,0.25390625,0.10009765625,0.10009765625,105
12,11,0.4,49,0.75,0.5,1,0.15625,1.38671875,0.05615234375,0.260009765625,0.0848388671875,0.0848388671875,105
12,11,0.4,49,0.75,0.5,1,-0.00244140625,1.38671875,0.0634765625,0.250244140625,0.1092529296875,0.1092529296875,105
12,11,0.4,49,0.75,0.5,1,-0.11962890625,1.3818359375,0.05859375,0.25390625,0.1031494140625,0.1031494140625,105
12,11,0.4,49,0.75,0.5,1,-0.14404296875,1.376953125,0.06103515625,0.2490234375,0.1019287109375,0.1019287109375,105
12,11,0.4,49,0.75,0.5,1,-0.36376953125,1.3671875,0.06103515625,0.245361328125,0.11474609375,0.11474609375,105
12,11,0.4,49,0.75,0.5,1,-0.4443359375,1.3525390625,0.0537109375,0.252685546875,0.0994873046875,0.0994873046875,105
12,11,0.4,49,0.75,0.5,1,-0.5029296875,1.3427734375,0.06103515625,0.257568359375,0.107421875,0.107421875,105
12,11,0.4,49,0.75,0.5,1,-0.60546875,1.3427734375,0.05615234375,0.267333984375,0.0885009765625,0.0885009765625,105
12,11,0.4,49,0.75,0.5,1,-0.5615234375,1.3427734375,0.06103515625,0.27587890625,0.09765625,0.09765625,105
12,11,0.4,49,0.75,0.5,1,-0.59814453125,1.3525390625,0.05859375,0.27099609375,0.103759765625,0.103759765625,105
12,11,0.4,49,0.75,0.5,1,-0.556640625,1.3623046875,0.0634765625,0.272216796875,0.113525390625,0.113525390625,105
12,11,0.4,49,0.75,0.5,1,-0.43701171875,1.376953125,0.06103515625,0.269775390625,0.115966796875,0.115966796875,105
12,11,0.4,49,0.75,0.5,1,-0.37109375,1.3916015625,0.0537109375,0.26611328125,0.10009765625,0.10009765625,105
12,11,0.4,49,0.75,0.5,1,-0.20751953125,1.396484375,0.0634765625,0.28076171875,0.108642578125,0.108642578125,105
12,11,0.4,49,0.75,0.5,1,-0.16845703125,1.396484375,0.05859375,0.28076171875,0.093994140625,0.093994140625,105
12,11,0.4,49,0.75,0.5,1,-0.009765625,1.396484375,0.0634765625,0.281982421875,0.1080322265625,0.1080322265625,105
12,11,0.4,49,0.75,0.5,1,0.2294921875,1.38671875,0.05615234375,0.272216796875,0.093994140625,0.093994140625,105
12,11,0.4,49,0.75,0.5,1,0.234375,1.3818359375,0.0634765625,0.27099609375,0.0994873046875,0.0994873046875,105
12,11,0.4,49,0.75,0.5,1,0.31005859375,1.376953125,0.0634765625,0.2734375,0.1104736328125,0.1104736328125,105
12,11,0.4,49,0.75,0.5,1,0.24169921875,1.376953125,0.0634765625,0.277099609375,0.1025390625,0.1025390625,105
12,11,0.4,49,0.75,0.5,1,0.2783203125,1.376953125,0.05859375,0.269775390625,0.1251220703125,0.1251220703125,105
12,11,0.4,49,0.75,0.5,1,0.24169921875,1.376953125,0.0537109375,0.296630859375,0.096435546875,0.096435546875,105
12,11,0.4,49,0.75,0.5,1,0.1416015625,1.3818359375,0.05859375,0.286865234375,0.098876953125,0.098876953125,105
12,11,0.4,49,0.75,0.5,1,0.0390625,1.3818359375,0.05615234375,0.299072265625,0.0836181640625,0.0836181640625,105
12,11,0.4,49,0.75,0.5,1,-0.0927734375,1.3818359375,0.05859375,0.28076171875,0.096435546875,0.096435546875,105
12,11,0.4,49,0.75,0.5,1,-0.263671875,1.3720703125,0.06103515625,0.260009765625,0.09765625,0.09765625,105
12,11,0.4,49,0.75,0.5,1,-0.34423828125,1.3623046875,0.0634765625,0.2685546875,0.1025390625,0.1025390625,105
12,11,0.4,49,0.75,0.5,1,-0.46875,1.3525390625,0.06103515625,0.262451171875,0.118408203125,0.118408203125,105
12,11,0.4,49,0.75,0.5,1,-0.53955078125,1.3427734375,0.06103515625,0.25390625,0.0958251953125,0.0958251953125,105
12,11,0.4,49,0.75,0.5,1,-0.5712890625,1.337890625,0.05859375,0.263671875,0.101318359375,0.101318359375,105
12,11,0.4,49,0.75,0.5,1,-0.58837890625,1.3427734375,0.0537109375,0.255126953125,0.098876953125,0.098876953125,105
12,11,0.4,49,0.75,0.5,1,-0.5810546875,1.34765625,0.0634765625,0.25390625,0.098876953125,0.098876953125,105
12,11,0.4,49,0.75,0.5,1,-0.5615234375,1.357421875,0.05859375,0.262451171875,0.0970458984375,0.0970458984375,105
12,11,0.4,49,0.75,0.5,1,-0.45654296875,1.376953125,0.0634765625,0.25634765625,0.10009765625,0.10009765625,105
12,11,0.4,49,0.75,0.5,1,-0.25390625,1.38671875,0.06103515625,0.25390625,0.1153564453125,0.1153564453125,105
12,11,0.4,49,0.75,0.5,1,-0.23681640625,1.396484375,0.0634765625,0.255126953125,0.107421875,0.107421875,105
12,11,0.4,49,0.75,0.5,1,-0.16845703125,1.396484375,0.07568359375,0.267333984375,0.1153564453125,0.1153564453125,105
12,11,0.4,49,0.75,0.5,1,-0.01708984375,1.3916015625,0.0634765625,0.26611328125,0.1019287109375,0.1019287109375,105
12,11,0.4,49,0.75,0.5,1,0.21484375,1.38671875,0.06591796875,0.2587890625,0.0927734375,0.0927734375,105
12,11,0.4,49,0.75,0.5,1,0.26123046875,1.376953125,0.05859375,0.262451171875,0.0848388671875,0.0848388671875,105
12,11,0.4,49,0.75,0.5,1,0.3125,1.3720703125,0.068359375,0.257568359375,0.096435546875,0.096435546875,105
12,11,0.4,49,0.75,0.5,1,0.322265625,1.3720703125,0.05859375,0.2587890625,0.107421875,0.107421875,105
12,11,0.4,49,0.75,0.5,1,0.26611328125,1.3720703125,0.0634765625,0.26123046875,0.10009765625,0.10009765625,105
12,11,0.4,49,0.75,0.5,1,0.2490234375,1.376953125,0.05615234375,0.257568359375,0.1123046875,0.1123046875,105
